company,school_1,alumnicount_1,school_2,alumnicount_2,school_3,alumnicount_3,school_4,alumnicount_4,school_5,alumnicount_5,school_6,alumnicount_6,school_7,alumnicount_7,school_8,alumnicount_8,school_9,alumnicount_9,school_10,alumnicount_10,school_11,alumnicount_11,school_12,alumnicount_12,school_13,alumnicount_13,school_14,alumnicount_14,school_15,alumnicount_15,id
Norfolk Southern Railway,georgia institute of technology,130,georgia state university,124,kennesaw state university,94,georgia southern university,85,old dominion university,73,virginia tech,72,penn state university,55,the university of georgia,50,"university of tennessee, knoxville",49,auburn university,48,university of phoenix,46,university of west georgia,44,georgia state university - j. mack robinson college of business,42,clemson university,40,liberty university,37,359
Northern Trust,depaul university,682,university of limerick,499,savitribai phule pune university,432,bangalore university,430,university of illinois chicago,413,university of illinois urbana-champaign,413,northern illinois university,261,loyola university chicago,234,depaul driehaus college of business,210,iob,205,university of mumbai,161,the university of chicago booth school of business,161,symbiosis college of arts & commerce,120,the institute of chartered accountants of india,120,northwestern university - kellogg school of management,120,360
Northrop Grumman,embry-riddle aeronautical university,1741,university of maryland,1401,university of phoenix,1350,ucla,1344,university of southern california,1209,arizona state university,1134,"california state university, long beach",1074,california state polytechnic university-pomona,1072,university of maryland global campus,1054,university of central florida,998,the johns hopkins university,844,penn state university,833,uc irvine,829,georgia institute of technology,756,caltech,549,361
Norwegian Cruise Line Holdings,florida international university,379,miami dade college,279,florida international university - college of business,84,university of miami,58,university of central florida,58,broward college,58,florida state university,57,university of florida,57,constanta maritime university,53,nova southeastern university,48,lyceum of the philippines university,46,polytechnic university of the philippines,44,florida atlantic university,44,university of phoenix,34,our lady of fatima university,31,362
PepsiCo,tecnológico de monterrey,1331,universidad nacional autónoma de méxico,625,university of illinois urbana-champaign,431,ain shams university,287,cairo university,280,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,363
Nvidia,technion - israel institute of technology,1312,stanford university,741,san josé state university,727,"university of california, berkeley",709,tel aviv university,626,university of southern california,613,"birla institute of technology and science, pilani",567,carnegie mellon university,530,georgia institute of technology,522,ben-gurion university of the negev,510,university of illinois urbana-champaign,473,north carolina state university,384,the university of texas at austin,374,savitribai phule pune university,345,texas a&m university,276,364
"NVR, Inc.",penn state university,100,virginia tech,96,university of maryland,81,george mason university,69,james madison university,65,towson university,61,university of central florida,44,west virginia university,40,northern virginia community college,39,grove city college,39,university of delaware,39,east carolina university,39,old dominion university,39,liberty university,39,radford university,38,365
NXP Semiconductors,university politehnica of bucharest,369,eindhoven university of technology,300,arizona state university,280,the university of texas at austin,259,delft university of technology,219,brno university of technology,170,fontys university of applied sciences,160,university of twente,157,"birla institute of technology and science, pilani",157,hamburg university of technology,154,han university of applied sciences,140,texas a&m university,133,visvesvaraya technological university,122,vellore institute of technology,108,thapar institute of engineering & technology,90,366
O'Reilly Auto Parts,missouri state university,437,ozarks technical community college,207,university of phoenix,90,drury university,60,"universal technical institute, inc.",54,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,367
Occidental Petroleum,texas a&m university,482,university of houston,327,the university of texas at austin,247,texas tech university,201,louisiana state university,164,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,368
Old Dominion,university of north carolina at greensboro,63,guilford technical community college,44,university of phoenix,36,southern new hampshire university,22,high point university,22,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,369
Omnicom Group,technological university dublin,218,the university of texas at austin,209,espm escola superior de propaganda e marketing,139,universidade anhembi morumbi,132,new york university,100,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,370
ON Semiconductor,arizona state university,273,brno university of technology,165,technological university of the philippines,118,idaho state university,90,universiti teknologi mara,79,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,371
ONEOK,oklahoma state university,528,university of oklahoma,228,the university of tulsa,203,northeastern state university,152,tulsa community college,133,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,372
Oracle Corporation,visvesvaraya technological university,1455,university of mumbai,1158,"birla institute of technology and science, pilani",1119,kendriya vidyalaya,893,the university of texas at austin,856,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,373
Otis Worldwide,fgv - fundação getulio vargas,168,university of connecticut,124,estácio,113,university of hartford,64,bangalore university,63,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,374
Paccar,fontys university of applied sciences,497,eindhoven university of technology,465,university of washington,389,university of north texas,278,han university of applied sciences,244,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,375
Packaging Corporation of America,mississippi state university,46,michigan state university,46,university of phoenix,37,university of maine,32,michigan technological university,29,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,376
Palantir Technologies,stanford university,134,university of pennsylvania,102,"university of california, berkeley",99,massachusetts institute of technology,97,georgia institute of technology,97,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,377
Palo Alto Networks,san josé state university,490,"university of california, berkeley",182,tel aviv university,159,university of mumbai,133,ben-gurion university of the negev,132,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,378
Paramount Global,"university of california, riverside",4,"california state university, fullerton",4,university of phoenix,3,liverpool john moores university,2,osmania university,2,harvard university,2,ucla,2,georgia institute of technology,2,uc irvine,2,"california state university, long beach",2,california state university-sacramento,1,new york institute of technology,1,abilene christian university,1,miami dade college,1,"department of management sciences (pumba), savitribai phule pune university",1,379
Parker Hannifin,the university of akron,246,cleveland state university,201,western michigan university,182,university of phoenix,180,universidad autónoma de nuevo león,157,the ohio state university,148,penn state university,142,purdue university,127,uc irvine,121,"california state university, northridge",112,ohio university,107,"california state university, fullerton",100,"penn state erie, the behrend college",99,north carolina state university,96,fgv - fundação getulio vargas,82,380
Paychex,monroe community college,583,rochester institute of technology,512,suny brockport,481,st. john fisher university,232,university of phoenix,176,university at buffalo,153,suny geneseo,132,nazareth university,131,arizona state university,114,state university of new york at fredonia,108,state university of new york at oswego,107,finger lakes community college,102,roberts wesleyan university,101,university of south florida,78,university of arizona,64,381
Paycom,university of central oklahoma,760,university of oklahoma,731,oklahoma state university,524,oklahoma city community college,208,the university of texas at dallas,145,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,382
PayPal,anna university chennai,343,arizona state university,275,"birla institute of technology and science, pilani",268,san josé state university,251,university of madras,213,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,383
Pfizer,university college dublin,535,rutgers university,521,university of washington,498,penn state university,488,aristotle university of thessaloniki (auth),431,university of michigan,344,cornell university,317,university of north carolina at chapel hill,269,new york university,268,university of mumbai,257,university of pennsylvania,222,columbia university,221,harvard university,211,fgv - fundação getulio vargas,203,king's college london,195,384
PG&E Corporation,california polytechnic state university-san luis obispo,603,california state university-sacramento,595,"university of california, davis",571,san josé state university,547,san francisco state university,539,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,385
Philip Morris International,krakow university of economics,675,alma mater studiorum – università di bologna,477,jagiellonian university,451,agh university of krakow,435,university of buenos aires,297,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,386
Phillips 66,oklahoma state university,344,texas a&m university,261,university of houston,170,mcneese state university,128,university of oklahoma,127,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,387
Pinnacle West,arizona state university,10,w. p. carey school of business – arizona state university,6,arizona state university college of law,4,university of phoenix,4,university of arizona,4,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,388
PNC Financial Services,university of pittsburgh,1361,penn state university,1048,robert morris university,718,duquesne university,628,university of phoenix,553,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,389
Pool Corporation,southeastern louisiana university,53,louisiana state university,47,university of new orleans,29,university of louisiana at lafayette,13,delgado community college,12,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,390
PPG Industries,university of pittsburgh,291,penn state university,253,tecnológico de monterrey,193,instituto politécnico nacional,185,universidad nacional autónoma de méxico,161,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,391
PPL Corporation,university of louisville,334,penn state university,269,university of kentucky,157,desales university,93,lehigh university,81,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,392
Principal Financial Group,iowa state university,897,university of northern iowa,628,university of iowa,602,drake university,463,des moines area community college,353,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,393
Procter & Gamble,university of cincinnati,1258,tecnológico de monterrey,679,miami university,594,sgh warsaw school of economics,536,national university of singapore,506,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,394
Progressive Corporation,cleveland state university,983,kent state university,825,university of phoenix,544,lakeland community college,532,the university of akron,468,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,395
Prologis,university of colorado boulder,41,"university of california, berkeley",33,university of colorado boulder - leeds school of business,27,university of colorado denver,26,university of southern california,25,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,396
Prudential Financial,rutgers university,521,rutgers business school,272,montclair state university,254,penn state university,248,new jersey institute of technology,229,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,397
Public Service Enterprise Group,new jersey institute of technology,316,rutgers university,260,montclair state university,125,thomas edison state university,107,rowan university,101,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,398
PTC Inc.,savitribai phule pune university,327,academia de studii economice din bucurești,69,boston university,65,university of massachusetts amherst,65,northeastern university,65,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,399
Public Storage,university of phoenix,27,"california state university, northridge",18,university of southern california,14,"california state university, los angeles",13,ucla,12,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,400
PulteGroup,university of central florida,95,texas a&m university,82,university of phoenix,73,arizona state university,73,university of florida,64,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,401
Quanta Services,northwest lineman college,95,university of houston,68,texas a&m university,58,sam houston state university,53,louisiana state university,42,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,402
Qualcomm,"birla institute of technology and science, pilani",988,uc san diego,969,"indian institute of technology, madras",619,jawaharlal nehru technological university,580,visvesvaraya technological university,538,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,403
Quest Diagnostics,capella university,269,university of phoenix,222,penn state university,120,george mason university,106,university of south florida,100,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,404
Ralph Lauren Corporation,fashion institute of technology,413,parsons school of design - the new school,152,the hong kong polytechnic university,92,new york university,68,university of north carolina at greensboro,67,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,405
Raymond James Financial,university of south florida,871,university of florida,357,st. petersburg college,349,florida state university,331,university of memphis,203,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,406
RTX Corporation,university of arizona,2185,university of connecticut,1790,embry-riddle aeronautical university,1761,university of phoenix,1604,worcester polytechnic institute,1251,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,407
Realty Income,san diego state university,32,arizona state university,17,uc san diego,16,w. p. carey school of business – arizona state university,14,california state university san marcos,12,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,408
Regency Centers,university of north florida,65,florida state university,18,university of florida,18,florida state college at jacksonville,17,university of north florida - college of business administration,12,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,409
Rockwell Automation,the silesian university of technology,594,university of wisconsin-milwaukee,434,milwaukee school of engineering,266,uniwersytet ekonomiczny w katowicach,246,university of wisconsin-madison,245,marquette university,221,cleveland state university,215,universidad autónoma de nuevo león,192,university of silesia in katowice,178,savitribai phule pune university,162,case western reserve university,159,conestoga college,154,purdue university,133,the ohio state university,131,tecnológico de monterrey,119,410
"Rollins, Inc.",georgia state university,34,the university of georgia,23,kennesaw state university,15,university of georgia - terry college of business,13,university of florida,13,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,411
Roper Technologies,university of south florida,12,university of florida,12,university of houston,5,harvard university,4,harvard business school,3,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,412
Ross Stores,fashion institute of technology,222,university of phoenix,134,san josé state university,100,california state university - east bay,98,san francisco state university,83,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,413
Royal Caribbean Group,florida international university,637,miami dade college,294,university of miami,151,cornell university,143,university of florida,142,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,414
S&P Global,delhi university,602,osmania university,388,gujarat university,296,guru gobind singh indraprastha university,246,kendriya vidyalaya,239,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,415
Salesforce,trailhead by salesforce,1462,"university of california, berkeley",876,university of illinois urbana-champaign,489,university of southern california,488,stanford university,483,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,416
SBA Communications,florida atlantic university,106,universidade paulista,29,broward college,25,palm beach state college,23,nova southeastern university,21,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,417
Schlumberger,university of houston,735,texas a&m university,617,heriot-watt university,511,the university of texas at austin,375,universiti teknologi petronas,315,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,418
Seagate Technology,university of minnesota,323,national university of singapore,197,nanyang technological university singapore,180,university of colorado boulder,152,ulster university,132,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,419
Sempra,san diego state university,142,uc san diego,45,national university,32,ucla,29,university of southern california,27,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,420
ServiceNow,san josé state university,442,uc san diego,398,san diego state university,385,jawaharlal nehru technological university,324,"birla institute of technology and science, pilani",222,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,421
Sherwin-Williams,cleveland state university,782,kent state university,515,the university of akron,325,the ohio state university,307,ohio university,298,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,422
Simon Property Group,indiana university indianapolis,105,indiana university bloomington,104,ball state university,69,purdue university,67,indiana university - kelley school of business,52,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,423
Skyworks Solutions,universidad autónoma de baja california,277,cetys universidad,172,uc irvine,69,the university of texas at dallas,50,temasek polytechnic,49,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,424
J.M. Smucker Company (The),the university of akron,303,kent state university,204,ashland university,121,the ohio state university,108,ohio university,54,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,425
Smurfit WestRock,tecnológico de monterrey,165,auburn university,139,north carolina state university,132,universidad icesi,132,fgv - fundação getulio vargas,124,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,426
Snap-on,university of wisconsin-parkside,90,carthage college,52,gateway technical college,51,university of wisconsin-milwaukee,40,university of phoenix,28,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,427
Solventum,university of minnesota,282,university of st. thomas,112,university of minnesota - carlson school of management,104,university of wisconsin-madison,76,university of wroclaw,74,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,428
Southern Company,university of alabama at birmingham,574,the university of alabama,444,auburn university,439,georgia institute of technology,244,georgia state university,174,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,429
Southwest Airlines,embry-riddle aeronautical university,853,texas a&m university,494,university of north texas,471,united states air force academy,387,the university of texas at arlington,311,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,430
Stanley Black & Decker,university of maryland,129,towson university,118,central connecticut state university,97,universidad autónoma de nuevo león,92,the university of akron,89,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,431
Starbucks,arizona state university,8702,university of washington,973,"california state university, fullerton",376,w. p. carey school of business – arizona state university,363,washington state university,359,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,432
State Street Corporation,krakow university of economics,937,university of mumbai,725,savitribai phule pune university,638,northeastern university,506,osmania university,422,the institute of chartered accountants of india,386,bangalore university,336,university of massachusetts amherst,292,boston university,276,bentley university,245,bharathiar university,223,boston college,217,university of madras,207,acca,201,institute of cost accountants of india,173,433
Steel Dynamics,purdue university fort wayne,123,ivy tech community college,90,purdue university,73,western governors university,55,mississippi state university,49,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,434
Steris,cleveland state university,209,lakeland community college,152,kent state university,132,the university of akron,92,the ohio state university,84,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,435
"Tapestry, Inc.",fashion institute of technology,303,parsons school of design - the new school,114,new york university,78,lim college,60,rutgers university,58,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,436
Targa Resources,texas a&m university,82,university of houston,80,oklahoma state university,45,the university of texas at austin,33,lee college,28,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,437
Target Corporation,university of minnesota,2434,university of minnesota - carlson school of management,758,university of phoenix,733,university of st. thomas,715,university of wisconsin-madison,585,university of central florida,572,st. cloud state university,492,penn state university,430,iowa state university,428,university of wisconsin-stout,389,indiana university bloomington,363,cornell university,355,university of illinois urbana-champaign,250,visvesvaraya technological university,201,"christ university, bangalore",146,438
TE Connectivity,universidad de sonora,420,penn state university,328,institute of technology of sonora,307,universidade são francisco,259,university of évora,201,visvesvaraya technological university,198,tecnológico de monterrey,157,universidad tecmilenio,140,university of galway,103,ensa tanger,100,universidad del valle de méxico,90,savitribai phule pune university,88,university of limerick,81,faculty of science and technology tangier,66,fgv - fundação getulio vargas,65,439
Teledyne Technologies,the university of alabama in huntsville,124,conestoga college,70,university of waterloo,61,auburn university,43,athens state university,38,université de sherbrooke,37,university of nebraska-lincoln,37,the university of alabama,35,"california state university, northridge",32,calhoun community college,30,"university of tennessee, knoxville",25,uc santa barbara,21,southeast community college,18,fontys university of applied sciences,17,embry-riddle aeronautical university,16,440
Teleflex,north carolina state university,115,university of limerick,97,"technological university of the shannon, athlone campus",94,universidad autónoma de baja california,81,universiti sains malaysia,68,universidad autónoma de chihuahua,67,penn state university,57,universiti teknologi mara,50,university of minnesota,48,tecnológico de monterrey,45,university of galway,38,instituto tecnológico de chihuahua,36,university of phoenix,33,universidad tecmilenio,31,limerick institute of technology,28,441
Teradyne,tecnológico de costa rica,113,northeastern university,109,university of massachusetts lowell,91,university of san carlos,83,university of san jose-recoletos,73,universidad latina de costa rica,67,worcester polytechnic institute,64,15136694,62,wentworth institute of technology,57,boston university,57,university of massachusetts amherst,53,university of cebu,53,cebu institute of technology,48,universidad de costa rica ucr,48,"california state university, northridge",47,442
"Tesla, Inc.",san josé state university,651,"university of california, berkeley",493,texas a&m university,417,stanford university,383,university of waterloo,365,purdue university,351,georgia institute of technology,323,the university of texas at austin,290,arizona state university,261,university of southern california,242,university of michigan,226,northeastern university,217,university of illinois urbana-champaign,214,the university of british columbia,206,savitribai phule pune university,181,443
Texas Instruments,texas a&m university,799,the university of texas at dallas,783,the university of texas at austin,390,texas tech university,334,"birla institute of technology and science, pilani",275,university of north texas,268,georgia institute of technology,248,southern methodist university,234,arizona state university,224,university of florida,221,"indian institute of technology, madras",196,university of illinois urbana-champaign,184,indian institute of science (iisc),167,"indian institute of technology, bombay",163,"indian institute of technology, kharagpur",129,444
Texas Pacific Land Corporation,texas tech university,7,university of oklahoma,5,texas a&m university,4,university of north texas,4,smu cox school of business,3,texas state university,3,the university of texas at arlington - college of business,2,the university of texas at arlington,2,angelo state university,2,texas tech university - rawls college of business,2,texas wesleyan university,2,kansas state university,2,abilene christian university,1,holland hall school,1,university of houston law center,1,445
Textron,wichita state university,1049,embry-riddle aeronautical university,481,the university of texas at arlington,420,kansas state university,320,friends university,304,texas a&m university,301,tarrant county college,195,purdue university,188,penn state university,175,butler community college,174,university of north texas,148,oklahoma state university,142,georgia institute of technology,138,the university of kansas,134,the university of texas at austin,132,446
Thermo Fisher Scientific,university of north carolina wilmington,798,east carolina university,514,north carolina state university,457,penn state university,452,uc san diego,444,university of north carolina at chapel hill,427,university of mumbai,285,northeastern university,269,university at buffalo,266,san diego state university,254,"university of california, berkeley",248,usp - universidade de são paulo,240,uc irvine,220,cornell university,159,fgv - fundação getulio vargas,136,447
TJX Companies,university of massachusetts amherst,347,northeastern university,304,framingham state university,249,"isenberg school of management, umass amherst",229,southern new hampshire university,194,bentley university,180,university of phoenix,167,bryant university,154,university of rhode island,148,penn state university,144,university of massachusetts lowell,131,worcester state university,130,boston college,123,boston university,121,university of new hampshire,110,448
Tractor Supply,middle tennessee state university (mtsu),146,"university of tennessee, knoxville",120,university of phoenix,82,tennessee technological university,54,western kentucky university,50,southern new hampshire university,50,ivy tech community college,43,belmont university,40,lipscomb university,36,penn state university,36,nashville state community college,36,texas a&m university,33,western governors university,32,haslam college of business at the university of tennessee,32,liberty university,25,449
Trane Technologies,university of wisconsin-la crosse,170,university of texas at tyler,111,university of north carolina at charlotte,106,universidad autónoma de nuevo león,103,university of minnesota,94,penn state university,93,purdue university,88,university of phoenix,84,university of south carolina,79,viterbo university,69,austin peay state university,67,university of wisconsin-madison,65,indiana university - kelley school of business,64,western technical college - company,64,north carolina state university,58,450
TransDigm Group,clarkson university,8,miami university,7,cleveland state university,6,visvesvaraya technological university,6,weatherhead school of management at case western reserve university,4,john carroll university,4,the university of akron,4,the ohio state university,4,clarkson university graduate school,4,michigan state university - eli broad college of business,3,united states military academy at west point,3,baldwin wallace university,3,university of kentucky,3,united states naval academy,3,wright state university,3,451
Travelers Companies (The),university of connecticut,1070,central connecticut state university,744,university of hartford,350,university of connecticut school of business,327,university of minnesota,280,eastern connecticut state university,266,manchester community college,201,bryant university,163,quinnipiac university,140,penn state university,139,illinois state university,137,university of st. thomas,134,university of massachusetts amherst,127,bentley university,124,southern connecticut state university,122,452
Trimble Inc.,university of canterbury,123,anna university chennai,117,university of colorado boulder,96,oregon state university,95,colorado state university,64,university of madras,60,wright state university,60,aalto university,59,portland state university,58,universitatea transilvania din brașov,55,teknillinen korkeakoulu-tekniska högskolan,51,kth royal institute of technology,51,thiagarajar college of engineering,51,university of otago,45,san josé state university,44,453
Truist Financial,university of north carolina at charlotte,340,north carolina state university,312,georgia state university,310,east carolina university,310,university of north carolina at chapel hill,271,university of phoenix,260,university of north carolina at greensboro,226,the university of georgia,209,university of central florida,197,georgia institute of technology,194,wake forest university,181,appalachian state university,178,university of georgia - terry college of business,164,kennesaw state university,162,georgia state university - j. mack robinson college of business,145,454
Tyler Technologies,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,455
Tyson Foods,university of arkansas,1410,northwest arkansas community college,223,arkansas tech university,215,purdue global,144,university of phoenix,127,bellevue university,108,oklahoma state university,104,texas a&m university,101,john brown university,99,university of central arkansas,85,southern new hampshire university,78,university of arkansas ­- sam m. walton college of business,73,iowa state university,73,kansas state university,63,arkansas state university,49,456
U.S. Bancorp,university of minnesota,1171,university of st. thomas,576,university of phoenix,575,university of minnesota - carlson school of management,439,university of wisconsin-madison,384,university of cincinnati,382,metro state university,378,st. cloud state university,359,"minnesota state university, mankato",328,jawaharlal nehru technological university,224,university of st. thomas - opus college of business,199,san diego state university,199,"california state university, northridge",155,jntuh college of engineering hyderabad,149,pacific coast banking school,146,457
Uber,"university of california, berkeley",407,university of southern california,267,tecnológico de monterrey,266,"birla institute of technology and science, pilani",243,university of illinois urbana-champaign,231,ucla,225,stanford university,219,georgia institute of technology,216,usp - universidade de são paulo,205,columbia university,188,fgv - fundação getulio vargas,178,cornell university,173,harvard business school online,169,harvard business school executive education,152,indian school of business,118,458
"UDR, Inc.",colorado state university,30,university of colorado boulder,16,university of colorado denver,15,metropolitan state university of denver,11,university of colorado boulder - leeds school of business,11,university of phoenix,11,university of denver,11,university of denver - daniels college of business,9,virginia tech,8,university of central florida,7,arapahoe community college,7,regis university,6,"california state university, fullerton",6,"california state university, long beach",6,liberty university,6,459
Ulta Beauty,northern illinois university,121,depaul university,100,arizona state university,94,university of phoenix,93,the art institutes,89,southern new hampshire university,88,university of north texas,86,university of illinois chicago,85,illinois state university,82,university of illinois urbana-champaign,77,indiana university bloomington,75,penn state university,67,michigan state university,66,columbia college chicago,59,purdue university,56,460
Union Pacific Corporation,university of nebraska at omaha,932,bellevue university,350,university of nebraska-lincoln,348,creighton university,157,university of phoenix,144,metropolitan community college,107,iowa state university,73,community college of the air force,53,salt lake community college,47,university of nebraska at kearney,45,iowa western community college,45,"universal technical institute, inc.",41,texas a&m university,39,kansas state university,39,creighton university's heider college of business,36,461
United Airlines Holdings,embry-riddle aeronautical university,1675,united states air force academy,559,university of illinois urbana-champaign,459,purdue university,380,university of houston,331,"southern illinois university, carbondale",316,depaul university,314,metropolitan state university of denver,288,lewis university,251,university of illinois chicago,250,university of north dakota,230,northern illinois university,214,united states naval academy,206,northwestern university,168,usaf air command and staff college,160,462
United Parcel Service,university of louisville,1591,university of phoenix,980,thomas edison state university,718,colorado technical university,511,embry-riddle aeronautical university,458,georgia state university,409,savitribai phule pune university,372,georgia institute of technology,327,kennesaw state university,287,new jersey institute of technology,255,rutgers university,202,anglia ruskin university,197,the university of georgia,189,university of georgia - terry college of business,144,emory university - goizueta business school,136,463
United Rentals,university of phoenix,101,texas state university,73,university of north carolina at charlotte,70,louisiana state university,67,the university of alabama,66,texas a&m university,60,"universal technical institute, inc.",52,auburn university,47,southeastern louisiana university,45,arizona state university,45,lamar university,41,mississippi state university,38,east carolina university,38,the university of southern mississippi,37,appalachian state university,33,464
UnitedHealth Group,university of phoenix,2145,university of minnesota,2026,capella university,1639,osmania university,1129,university of st. thomas,1090,delhi university,973,jawaharlal nehru technological university,805,university of minnesota - carlson school of management,771,jntuh college of engineering hyderabad,463,kendriya vidyalaya,367,savitribai phule pune university,334,srm ist chennai,292,"birla institute of technology and science, pilani",256,vellore institute of technology,223,indian school of business,116,465
Universal Health Services,university of phoenix,126,penn state university,102,temple university,99,western governors university,82,grand canyon university,76,university of nevada-las vegas,76,college of southern nevada,69,walden university,68,west chester university of pennsylvania,58,chamberlain university,52,capella university,50,drexel university,36,the university of texas at arlington,34,liberty university,33,texas state university,27,466
Valero Energy,the university of texas at san antonio,351,texas a&m university,215,lamar university,142,university of the incarnate word,116,the university of texas at austin,102,louisiana state university,83,texas tech university,64,oklahoma state university,61,st. mary's university,59,texas a&m university-corpus christi,55,texas a&m university-kingsville,55,lamar institute of technology,55,university of phoenix,53,del mar college,51,texas state university,43,467
Ventas,university of louisville,27,university of illinois urbana-champaign,15,indiana university - kelley school of business,9,indiana university bloomington,9,depaul university,9,indiana university southeast,9,bellarmine university,7,sullivan university,7,penn state university,7,university of wisconsin-madison,7,university of kentucky,7,university of michigan,6,northwestern university,6,the university of chicago booth school of business,5,university of notre dame,4,468
Veralto,insead,9,university of virginia darden school of business,7,northwestern university - kellogg school of management,7,harvard business school,7,northeastern university,7,colorado state university,6,university of michigan,6,university of buenos aires,6,university of wisconsin-madison,6,harvard business school online,6,massachusetts institute of technology,5,university of phoenix,5,northwestern university,5,universidad del salvador,5,bentley university,5,469
