name,location,average_gpa,average_sat_composite,Average Salary 1yr,Average Salary 5yr,acceptance_rate,average_act_composite,type_of_institution,level_of_institution,average_net_price,number_of_students,gpa_link,latitude,longitude,school_name_clean_key
bucknell university,"Lewisburg, PA",3.7,1355.0,64330.78571428572,88423.11764705883,0.33,32,PRIVATE,4 YEAR,39359.0,3787.0,https://www.appily.com/colleges/gpa/3-8,N/A,N/A,bucknell university
fairleigh dickinson universityflorham campus,N/A,N/A,N/A,38328.8125,63241.529411764706,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fairleigh dickinson universityflorham campus
california baptist university,"Riverside, CA",3.6,1096.0,43792.9,61280.25925925926,0.8,21,PRIVATE,4 YEAR,27883.0,11495.0,https://www.appily.com/colleges/gpa/3-7,N/A,N/A,california baptist university
lamson institute,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,lamson institute
houston training schoolmain campus,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,houston training schoolmain campus
morehouse college,"Atlanta, GA",3.5,1064.0,32092.555555555555,72066.2,0.6,22,PRIVATE,4 YEAR,30839.0,2567.0,https://www.appily.com/colleges/gpa/3-6,N/A,N/A,morehouse college
university academy of hair design,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,university academy of hair design
eugene lang college at the new school,"New York, NY",3.4,1207.0,N/A,N/A,0.87,26,PRIVATE,4 YEAR,51218.0,9625.0,https://www.appily.com/colleges/gpa/3-5,N/A,N/A,eugene lang college at the new school
college of the redwoods,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,college of the redwoods
asher institute of hampton,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,asher institute of hampton
kenneth shuler school of cosmetologygoose creek,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,kenneth shuler school of cosmetologygoose creek
american college of acupuncture and oriental med,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,american college of acupuncture and oriental med
eastern washington university,"Cheney, WA",3.3,1033.0,42156.09375,58179.555555555555,0.96,19,PUBLIC,4 YEAR,12322.0,10910.0,https://www.appily.com/colleges/gpa/3-4,N/A,N/A,eastern washington university
brookline collegephoenix,N/A,N/A,N/A,56471.0,64157.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,brookline collegephoenix
nassau community college,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,nassau community college
penn commercial businesstechnical school,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,penn commercial businesstechnical school
ross medical education centermorgantown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ross medical education centermorgantown
herzing universitybirmingham,N/A,N/A,N/A,49893.28571428572,63911.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,herzing universitybirmingham
illinois college,"Jacksonville, IL",3.7,1084.0,41184.2,51860.8,0.77,23,PRIVATE,4 YEAR,17544.0,1029.0,https://www.appily.com/colleges/gpa/3-8,N/A,N/A,illinois college
kaskaskia college,"Centralia, IL",3.2,N/A,N/A,N/A,N/A,--,PUBLIC,2 YEAR,6574.0,3370.0,https://www.appily.com/colleges/gpa/3-3,N/A,N/A,kaskaskia college
newman university,"Wichita, KS",3.6,1099.0,48884.0,58027.75,0.51,21,PRIVATE,4 YEAR,16497.0,2848.0,https://www.appily.com/colleges/gpa/3-7,N/A,N/A,newman university
ross medical education centerontario,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ross medical education centerontario
northeastern university,"Boston, MA",4.0,1478.0,61458.77419354839,85879.97222222222,0.07,34,PRIVATE,4 YEAR,37738.0,30013.0,https://www.appily.com/colleges/gpa/4-0,N/A,N/A,northeastern university
the college of health care professionsfort worth,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,the college of health care professionsfort worth
southwest acupuncture collegesanta fe,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,southwest acupuncture collegesanta fe
universal spa training academy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,universal spa training academy
putnam career and technical center,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,putnam career and technical center
wilkes community college,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,wilkes community college
alliant international universitysacramento,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,alliant international universitysacramento
kent state university at east liverpool,"East Liverpool, OH",3.2,N/A,32356.2,44912.8,N/A,--,PUBLIC,4 YEAR,8024.0,1024.0,https://www.appily.com/colleges/gpa/3-3,N/A,N/A,kent state university at east liverpool
peru state college,N/A,N/A,N/A,37853.5,50235.75,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,peru state college
pacific islands university,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,pacific islands university
